Tweet,Sentiment
Generate Bitcoin 0.02  0.5 BTC (Update2018) https://t.co/7U2RrPXEb0,neutral
"@XformationDan Btc
Ltc 
Eth
Bch
Eos 
Neo 
Qtum
Omg
Steem
Ppt
Sc
Bts 
Wtc
Veri 
Qash 
Bat
Gas
Sys
Knc 
Link
Cvc
PPP https://t.co/BtcT9CaKkE",neutral
"Remember we are still in a bear market, until proven otherwise(eyeing +9.5k $BTC). So dont be afraid to take some https://t.co/pwsLrXknE7",neutral
"#bitcoin #roadmap has been released.
#BTC #moon https://t.co/zEB77i05lw",neutral
"Guys,its totally Free to earn btc every 15 minutes! https://t.co/HLg5QqpjIw https://t.co/hcZIxVERxY",neutral
Register with Binance and you can trade for as low as 0.05% fee. 3-5x cheaper than Bithumb / Bitfinex / HitBTC / Po https://t.co/TzuXP3ejjz,neutral
"We're one of the best rated #blockchain projects on all #ICO listing websites! 
TrackICO rating: 5/5
ICOholder rat https://t.co/XxdjZn8ukO",neutral
I added a video to a @YouTube playlist https://t.co/cxXEbfkjND Best Way to Earn Btc with Payment Proof 1000% real in Urdu/Hindi.,neutral
"@XformationDan Myb, sys, bat, nlc2, btc, bch, vibe, civic, eos, neo, bts, ppp, ppt, steem, real, ong,hkn,odn , eth, wtc",neutral
"Check all here --&gt; https://t.co/S1I0bDpMr2 
On #Poloniex #DCR to #BTC -- &gt; 0.00632562, volume --&gt; 41898 
On #wexnz https://t.co/XQ8BEJcYfg",neutral
"BTC increased very fast and will go to 15000$, check this $VTC news -&gt;  https://t.co/O8NpWpwYml

 $TNT $OTN $ENRG https://t.co/AGhLZH9aEh",neutral
"The current price of Bitcoin is $7342.39.
The current price of BCash is $694.093, or 0.0946888 BTC",neutral
"Anyone holding Xatra Coins in their wallets will
receive interest on their staking balance in return for helping
ma https://t.co/3nwBvOgZRd",neutral
Still not registered? Have'nt bought your EQUItokens yet? Join the #EQUI community who have already invested over $ https://t.co/PuuiBLv96w,neutral
"#bitcoin #btc

4 Things That Make Bitcoin Truly Exceptional https://t.co/Tv0Oi1wEh3",neutral
"Long/Short Bitcoin moves with up to 100x Leverage at Bitmex! 

Get a 10% Fee Discount:

 https://t.co/wp9lUQo6Yn",neutral
"want to buy the next 30x coin? sign up on https://t.co/3tV6UOu4u2 now!

 https://t.co/4u9anUBUV2

 $BTC $ZCL $ETH https://t.co/hbIJoeF7YT",neutral
"Make money even when BTC is going down! 

 https://t.co/OVzhTkdJpl

Up to 100x Leverage!

$BTG $ENG $LTC $NAS https://t.co/n298QyU6zR",neutral
I remind you that @PDATA_Token Pre-Sale will begin on 10.04.2018. Don't loose your chance to invest to existing pro https://t.co/iqMIZ3ONQR,neutral
"We made 25% with our last pump signal

https://t.co/EcEcrOZnEK

$EVX $STORJ $GVT $MTH $SNM $ARN $NEBL $OMG $ETC https://t.co/ZG50nXdbWU",neutral
@NordicAnn Not entirely luck i had mined btc back in 2009 but sold at 800 cos i was hearing its a bubble everyda https://t.co/LcCl7uCRO3,negative
Registered for my last semester and I messed up by scheduling a class in the BTC building and one in Burrier 15 minutes apart ,negative
"@chartingbitcoin Ok, but is the $10b calculated in terms of how much BTC was worth at the time the transaction took place?",neutral
Is there a correlation between crypto dominance and crypto price? In the last days when the market dominance grow u https://t.co/UxPlPfBPUP,neutral
Rule No.1: Never lose money. Rule No.2: Never forget rule No.1. #blockchain #btc #crypto #cryptocurrency #bitcoin https://t.co/x4lCllsNyQ,negative
"Binance is open to new users for a limited time, don't miss out!

 https://t.co/qTUIo2GNa8

Happy trading!  https://t.co/zSmrpsgtWR",positive
"Bought a small amount of $btc this morning using a small loan from my father. 

About to be a made man. https://t.co/9eb17FGt3K",neutral
"Shopping secondhand is like a treasure hunt. It takes time to learn how to bargain shop, but you can become a money https://t.co/W6OK8puFC9",neutral
"Bitcoin price analysis: BTC/USD fails at $7,500; FED's Brainard says cryptos are too volatile https://t.co/qFsJn0Rapg",neutral
"Join FOREX COIN (FXC) Airdrop, 
and get $40 worth of FXC tokens instantly.
Airdrop Form: https://t.co/SE7xbvATRH https://t.co/eR3kOR1NKr",neutral
"I think my investors deserve a full BTC refund, no matter if Poloniex has frozen my account or not - this shouldn't be their problem.",negative
